transaction_id,account_id,account_type,timestamp,amount,transaction_type,merchant,location,is_foreign,is_high_risk_country,opening_balance,closing_balance,is_fraud,fraud_reasons
71cd4ea5-af82-4085-8bfa-83794c684be5,f628e238-6363-4aa0-954e-be6a6450cbed,credit,2025-01-12T20:09:27.535111,932.74,transfer,"Norman, Floyd and Fernandez",South Stephaniefort,False,False,86320.1,85387.36,False,
0a7a6f20-ef2e-4f70-8f1d-d86f73a67a5b,0a82ec31-7ffc-4219-808f-3c0e2fdc43b4,savings,2025-02-05T16:33:45.556739,1213.76,transfer,"Donovan, Howard and Maldonado",Brownland,False,False,73458.85,72245.09,False,
9c037b8d-eaf6-4814-8771-9de47663703f,5ae4b599-792b-47c9-907c-52d68f393333,savings,2025-02-24T03:56:52.903132,1929.62,transfer,Miller-Stevens,Deborahburgh,False,False,96117.11,94187.49,False,
5dfb600e-c0fe-47e8-81ba-87728f69e38f,0a82ec31-7ffc-4219-808f-3c0e2fdc43b4,savings,2025-02-17T12:35:24.923595,1153.71,withdrawal,Guerrero-Evans,Mosleystad,False,False,72245.09,71091.38,False,
f223fe9a-7529-4d94-a4e0-32913fbf3012,837d4743-8515-47d3-a4ff-baf2ed8a2d68,savings,2025-02-17T18:59:17.950776,1883.23,deposit,"Kim, Lopez and Johnson",Lake Wendybury,False,False,54299.94,56183.17,False,
b3083758-3073-4563-a994-7ad13e035990,bcb9870a-75de-4740-8e9a-ff4749b10589,checking,2025-04-05T10:05:55.333773,1395.9,purchase,Sparks Ltd,Victormouth,False,False,30562.65,29166.75,False,
658b172c-16ce-4507-af5d-ae92a653121c,e555e110-20f5-4ee7-99a5-14731daff7aa,credit,2025-02-09T14:41:55.501188,1566.36,payment,Johnson Inc,Kristinton,False,False,7410.83,8977.19,False,
d637a15b-9347-47df-842f-afe0399e76a1,3f50dee0-fe19-4a8b-883c-4d523c78ec15,credit,2025-01-15T13:12:59.358409,142.57,withdrawal,Roman Ltd,Bentleyside,False,False,38657.72,38515.15,False,
8ef3b324-ce90-4ef7-8c8b-10dce4cb38d3,8811a058-9ec4-4b43-b7ec-41ccd80132e5,credit,2025-03-30T14:50:55.048662,1645.55,deposit,"Hall, Jones and Moss",Valdezfort,False,False,47410.49,49056.04,False,
8e2314c8-e0cc-4f03-8dbb-ae16891c82f9,e0e8fc26-00ef-456b-9074-2b55ba445794,checking,2025-01-31T00:32:29.234900,1416.08,deposit,"Williams, Haynes and Anderson",Lake Brendan,False,False,88645.71,90061.79,False,
16032ea3-cb7f-4ea6-aa42-a4aded71d362,3ab9cc8a-886e-4db3-8075-7626d2f5e64b,savings,2025-02-18T13:32:06.905092,1617.36,payment,Bryant and Sons,Port Lisaville,False,False,6166.25,7783.61,False,
f0d26e45-12e5-47b2-8a0f-a835e28d575e,7918583c-dc43-4252-aa0b-ed7e141cf111,checking,2025-02-23T07:48:26.986251,873.97,deposit,"Walker, Brock and Simmons",Nguyenshire,False,False,32883.29,33757.26,False,
4481c201-b68d-47ff-a0ab-fe8dff821641,0711ad14-25d5-4d0a-850c-0b46924ccd84,credit,2025-01-12T19:05:00.625493,1704.17,withdrawal,Copeland-Mcguire,New Glennland,False,False,99616.02,97911.85,False,
266a7349-04c8-451b-841a-d8fc1010feaf,8928f170-c471-45cb-a143-42dc614372b7,credit,2025-01-24T19:12:58.046538,1763.85,withdrawal,Todd and Sons,Angelamouth,False,False,59857.4,58093.55,False,
a92e6d16-70dc-49a8-afa7-72e48d4ab78b,fc3ebf50-28b2-4b53-93bc-bf753bfcc8c6,credit,2025-03-27T22:15:14.713819,1222.61,payment,"Williams, Garcia and Boone",Stricklandtown,False,False,31868.84,33091.45,False,
d0f54926-2bb7-4229-86e3-2a933ec1d4f1,219d0e7a-cb6c-4766-a210-930cd24d5250,credit,2025-02-10T15:49:05.692317,1702.65,deposit,Smith and Sons,Lake Deniseport,False,False,91913.26,93615.91,False,
3b3a1701-88bc-4829-97ff-1a323fd786b1,e11a3e05-c54d-4a65-ae4a-2560ec28cfff,checking,2025-01-24T08:55:18.951580,1596.68,withdrawal,Schwartz-Harris,Alexandrachester,False,False,54283.84,52687.16,False,
0e9e3458-3190-4454-9c7a-67e5a77cfc83,ed8399ae-4c3e-4063-b23b-ad39fac3d3aa,checking,2025-04-03T19:56:24.082573,25.25,payment,Bishop Inc,Lake Vincent,False,False,5369.02,5394.27,False,
65472206-d0a8-4fce-9135-7622e34c7d60,a1be822b-70f4-4ba8-851f-6288e4c73df6,credit,2025-02-21T19:01:57.910963,1441.55,transfer,"Serrano, Turner and Barnes",East David,False,False,86217.19,84775.64,False,
14acd98b-10df-498c-a0f5-14a228f7dbe5,02b85105-c454-4827-a6dc-4e1fb14d8d41,savings,2025-03-06T09:46:08.688386,61064.2,deposit,Montgomery PLC,South Kaylee,False,False,-6838.39,54225.81,True,simulated_high_amount
410fe8ec-3139-4744-a033-04c83b0dba1b,fa262e82-8deb-4aff-85a3-83c8f5510733,credit,2025-03-31T00:56:33.723855,92291.72,withdrawal,Brown-Rodriguez,Lake Megan,False,False,98000.0,5708.28,True,simulated_account_draining
573beb67-9641-4411-8944-e63b1a05e7b3,a7792736-540b-496a-b8a4-b8ec65b2ddc2,credit,2025-01-21T11:22:32.604206,1109.18,deposit,Thompson-Santiago,North Deannaport,False,False,46943.78,48052.96,False,
21a8151b-6e09-4cb2-8035-46294dc39c05,64a11792-0447-42c8-8157-edd0a9ac0f74,credit,2025-04-01T08:18:16.347881,1407.2,withdrawal,Cook-Trujillo,Williamston,False,False,47845.43,46438.23,False,
d2805331-b385-4a86-bac1-7a3536a048b2,838b70fc-37c1-4d70-9edc-ea992189f380,checking,2025-03-29T10:28:52.681863,245.71,transfer,Moore Inc,Robertsonland,False,False,3082.39,2836.68,False,
d8efcc6e-40c3-4771-9c44-bb50dfc7014f,6290c643-6a42-4859-ae6e-abf97f0de93f,checking,2025-02-01T20:36:19.458049,1902.0,payment,"Wallace, Riley and Barnes",Jerryville,False,False,42834.82,44736.82,False,
21c3a0ff-287a-4ac5-b8b3-90b4875b4b87,5ae4b599-792b-47c9-907c-52d68f393333,savings,2025-01-08T04:23:16.100260,1478.52,transfer,Young Group,South Patricia,False,False,94187.49,92708.97,False,
e158bf25-b5cb-4e56-8dfd-cbb8bdf33480,c56aa85a-3e46-4f26-83db-428daadac4b2,savings,2025-01-14T07:47:44.768193,1666.09,purchase,"Washington, Zamora and Thomas",Thompsonstad,False,False,20757.71,19091.62,False,
6623b19c-a6d1-4bac-b82b-83bd0cba2fed,1f18d78c-c4f3-44d7-9987-471f837f1d6a,credit,2025-01-06T19:51:04.808637,608.02,transfer,"Lee, Howard and Nelson",Davidshire,False,False,30269.87,29661.85,False,
38f6fa60-9f56-447a-8aa8-d5fc8cd097b8,1318d7db-e2be-454a-b0f1-f0640eb9ec5e,checking,2025-01-22T11:26:19.911731,95.8,withdrawal,Rodriguez Group,Barnesmouth,True,False,31213.9,31118.1,False,
